desc,shortDesc,condition
"""HARD DRIVE 80 GB SATA **Refurbished** Harddrives / SSD""",Canon RSLP01 Projector Lamp  200W NSH  2000 Hour,Refurbished
"""Xeon 3.16Ghz/667Mhz 1Mb L2 **Refurbished** Processors""",Canon RSLP01 Projector Lamp  200W NSH  2000 Hour,Refurbished
"""Xseries 366Ghz 667Mhz 1Mb L2 **Refurbished** Electrical Parts""",Canon RSLP01 Projector Lamp  200W NSH  2000 Hour,Refurbished
"""X366 Backplane Card **Refurbished** Other Option Products""",Canon RSLP01 Projector Lamp  200W NSH  2000 Hour,Refurbished
"""Xseries 366 Interposer Card **Refurbished** Other Option Products""",Canon RSLP01 Projector Lamp  200W NSH  2000 Hour,Refurbished
"""SYST BD INTELL MPRO 6220/6230 **Refurbished** Motherboards""",Canon RSLP01 Replacement Lamp  200 W Projector Lamp  NSH  2000 Hour,Refurbished
"""X Series 445 Smp Board **Refurbished** Other Option Products""",Canon RSLP01 Replacement Lamp  200 W Projector Lamp  NSH  2000 Hour,Refurbished
"""X Series 345 Server System **Refurbished** Other Option Products""","UFO: Aftermath is a combination of a small squad tactical combat and a global strategy game, putting you against an alien threat. Use all of your skills and abilities to defend the planet Earth from its destruction. Fight against many kinds of mutants and aliens, research new technologies, develop incredible weapons and devices which will help you in your war against uninvited space visitors.",New
"""X Series 345 Server System **Refurbished** Other Option Products""","UFO: Aftermath is a combination of a small squad tactical combat and a global strategy game, putting you against an alien threat. Use all of your skills and abilities to defend the planet Earth from its destruction. Fight against many kinds of mutants and aliens, research new technologies, develop incredible weapons and devices which will help you in your war against uninvited space visitors.",Refurbished
"""X Series 345 Server System **Refurbished** Other Option Products""","Ricoh Installation and Activation Package  Installation / configuration  onsite  for Aficio C811DNDL, C811DNT1, C811DNT2, C811DNT3, SP C811DN",Refurbished
"""X Series 366 Microprocessor **Refurbished** Processors""","Ricoh Installation and Activation Package  Installation / configuration  onsite  for Aficio C811DNDL, C811DNT1, C811DNT2, C811DNT3, SP C811DN",Refurbished
"""8482 SYSTEM BOARD **Refurbished** Motherboards""",Ricoh Service/Support  Extended Warranty  1 Year  Service  Onsite  Maintenance  Parts & Labor  Physical,Refurbished
"""XEON 3.0GHZ/800/2MB PROC **Refurbished** Processors""","Ricoh OnSite Extended Warranty Package  Extended service agreement  parts and labor  2 years  onsite  for Aficio C811DNDL, C811DNT1, C811DNT2, C811DNT3, SP C811DN",Refurbished
"""Intel Xeon 3.2Ghz 2Mb 800Mhz **Refurbished** Processors""","Ricoh OnSite Extended Warranty Package  Extended service agreement  parts and labor  2 years  onsite  for Aficio C811DNDL, C811DNT1, C811DNT2, C811DNT3, SP C811DN",Refurbished
"""Intel Xeon 3.4Ghz 2Mb 800Mhz **Refurbished** Processors""","Hauppauge WinTV NOVAT TV Tuner  Functions: TV Tuning, Video Capturing, FM Tuning  USB  DVB",Refurbished
"""3.6GHZ/800MHZ/2MB XEON PROC **Refurbished** Processors""","Hauppauge WinTV NOVAT TV Tuner  Functions: TV Tuning, Video Capturing, FM Tuning  USB  DVB",Refurbished
"""8482 SYSTEM BOARD **Refurbished** Motherboards""","Hauppauge WinTV NOVAT TV Tuner  Functions: TV Tuning, Video Capturing, FM Tuning  USB  DVB",Refurbished
"""VIDEO ADAPTER ATI FIREGL V7100 **Refurbished** Adapter""",Sennheiser Battery Power Supply Unit  12 V DC Output,Refurbished
"""NVIDIA QUADRO FX3500 VID 256MB **Refurbished** Network""",Sennheiser Battery Power Supply Unit  48 V Output,Refurbished
"""NVIDIA Quadro FX 4500 **Refurbished** Controllers""","Fellowes Stor/File Decorative  Pinstripe  Internal Dimensions: 12"" Width x 15"" Depth x 10"" Height  Stackable  Medium Duty  External Dimensions: 12.5"" Width x 16.3"" Depth x 10.5"" Height  Black, Gray  File  4 / Carton",Refurbished
"""NVIDIA QUADRO FX550 **Refurbished** Other Option Products""","Fellowes Stor/File Decorative  Pinstripe  Internal Dimensions: 12"" Width x 15"" Depth x 10"" Height  Stackable  Medium Duty  External Dimensions: 12.5"" Width x 16.3"" Depth x 10.5"" Height  Black, Gray  File  4 / Carton",Refurbished
"""Bladebase 2.2Ghz X 2 **Refurbished** Other Option Products""","Fellowes Stor/File Decorative  Pinstripe  Internal Dimensions: 12"" Width x 15"" Depth x 10"" Height  Stackable  Medium Duty  External Dimensions: 12.5"" Width x 16.3"" Depth x 10.5"" Height  Black, Gray  File  4 / Carton",Refurbished
"""Bladebase 2.2Ghz X 2 **Refurbished** Other Option Products""",Canon Remote Control: LVRC08  For Projector  Infrared  26 ft Operating Distance,Refurbished
"""PSU IBM 1800W 8677 **Refurbished** Power""",Canon Remote Control: LVRC08  For Projector  Infrared  26 ft Operating Distance,Refurbished
"""3.2GHZ 533MHZ 1MB L3 XEON **Refurbished** Processors""",Canon LVRC08 Wireless Device Remote Control  For Projector  Infrared  7.90 m Operationg Distance,Refurbished
"""CPU Xeon MP 3.0Ghz **Refurbished** Processors""",Canon LVRC08 Wireless Device Remote Control  For Projector  Infrared  7.90 m Operationg Distance,Refurbished
"""XEONDP 3.4GHZ 800MHZ 604M **Refurbished** Processors""",Canon LVRC08 Wireless Device Remote Control  For Projector  Infrared  7.90 m Operationg Distance,Refurbished
"""XEONDP 3.2GHZ 512KB **Refurbished** Processors""",HARDWARE +SOFTWARE INSTALL +TRAINING F/X4500 X7500,Refurbished
"""XEONDP 3.2GHZ 1 MB **Refurbished** Processors""","Nokia 3710 Fold Cellular Phone  3G  Flip  Black  SIMfree  Email, Instant Messaging  70 MB  5.6 cm (2.2"") LCD 240 x 320  3.2 Megapixel Rear CameraBuiltin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 850, WCDMA 1900, WCDMA 2100  GPS Receiver  Bluetooth  Bluetooth 2.1  USB  USB 2.0  4 Hour  Talk Time288 Hour Standby Time  Yes",Refurbished
"""XEONDP 3.4GHZ 512KB **Refurbished** Processors""","Nokia 6700 Classic Cellular Phone  Bar  Black  SIMfree  Email, Instant Messaging  170 MB RAM  1 GB microSD Included  5.6 cm (2.2"") LCD 240 x 320  5 Megapixel Rear Camera  640 x 480 Video  Builtin Flash  Quad Band  GPS Receiver  Bluetooth  Bluetooth 2.1  USB  USB 2.0  8 Hour  Talk Time300 Hour Standby Time  Yes",Refurbished
"""XEONDP 3.6GHZ 800MHZ **Refurbished** Processors""","Nokia 6700 Classic Smartphone  3.5G  Bar  Silver  SIMfree  170 MB RAM  1 GB microSD Included  5.6 cm (2.2"") LCD 320 x 240  5 Megapixel Rear Camera  640 x 480 Video  Builtin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 900, WCDMA 1900, WCDMA 2100  GPS Receiver  Bluetooth  Bluetooth 2.1  USB  USB 2.0  5 Hour  Talk Time288 Hour Standby Time  Yes",Refurbished
"""CPU 3.4 Ghz FSB 800Mhz 2MB **Refurbished** Processors""","Nokia 6700 Classic Smartphone  3.5G  Bar  Silver  SIMfree  170 MB RAM  1 GB microSD Included  5.6 cm (2.2"") LCD 320 x 240  5 Megapixel Rear Camera  640 x 480 Video  Builtin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 900, WCDMA 1900, WCDMA 2100  GPS Receiver  Bluetooth  Bluetooth 2.1  USB  USB 2.0  5 Hour  Talk Time288 Hour Standby Time  Yes",Refurbished
"""XSERIES 336 X/3.62MB PROC UPG **Refurbished** Processors""","Nokia 2330 Classic Cellular Phone  2.75G  Bar  Black  SIMfree  Email, Instant Messaging  32 MB  4.6 cm (1.8"") LCD 128 x 160  300 Kilopixel Rear Camera  352 x 288 Video  Dual Band  GSM 900, GSM 1800  Bluetooth  Bluetooth 2.0  4.80 Hour  Talk Time540 Hour Standby Time  Yes",Refurbished
"""XEON 2.8GHZ **Refurbished** Processors""","Nokia 2330 Classic Cellular Phone  2.75G  Bar  Black  SIMfree  Email, Instant Messaging  32 MB  4.6 cm (1.8"") LCD 128 x 160  300 Kilopixel Rear Camera  352 x 288 Video  Dual Band  GSM 900, GSM 1800  Bluetooth  Bluetooth 2.0  4.80 Hour  Talk Time540 Hour Standby Time  Yes",Refurbished
"""XEON 3.0GHZ **Refurbished** Processors""","Nokia 2323 Classic Cellular Phone  2.5G  Bar  Black  SIMfree  Email, Instant Messaging  32 MB  4.6 cm (1.8"") LCD 128 x 160  Dual Band  GSM 900, GSM 1800  Bluetooth  Bluetooth 2.0  4 Hour  Talk Time540 Hour Standby Time  Yes",Refurbished
"""XSERIES XEONDP 3.0G PRO X226 **Refurbished** Processors""","Nokia 2323 Classic Cellular Phone  2.5G  Bar  Black  SIMfree  Email, Instant Messaging  32 MB  4.6 cm (1.8"") LCD 128 x 160  Dual Band  GSM 900, GSM 1800  Bluetooth  Bluetooth 2.0  4 Hour  Talk Time540 Hour Standby Time  Yes",Refurbished
"""3.2G 1MB 800MHZCHIP PROC UPG **Refurbished** Electrical Parts""","Nokia 2323 Classic Cellular Phone  2.5G  Bar  Black  SIMfree  Email, Instant Messaging  32 MB  4.6 cm (1.8"") LCD 128 x 160  Dual Band  GSM 900, GSM 1800  Bluetooth  Bluetooth 2.0  4 Hour  Talk Time540 Hour Standby Time  Yes",Refurbished
"""XEONDP 3.0GHZ 1MB 800MHZ **Refurbished** Processors""","Nokia E52 Smartphone  Wireless LAN  3.5G  Bar  Grey  SIMfree  Symbian OS 9.3  ARM ARM11600 MHz  60 MB RAM  1 GB microSD Included  6.1 cm (2.4"") LCD 320 x 240  3.2 Megapixel Rear Camera  640 x 480 Video  Builtin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 900, WCDMA 2100  GPS Receiver  Bluetooth  Bluetooth 2.0  USB  USB 2.0  8 Hour  Talk Time552 Hour Standby Time  Yes",Refurbished
"""XEONDP 3.16GHZ 1MB 667MHZ **Refurbished** Processors""","Nokia E52 Smartphone  Wireless LAN  3.5G  Bar  Grey  SIMfree  Symbian OS 9.3  ARM ARM11600 MHz  60 MB RAM  1 GB microSD Included  6.1 cm (2.4"") LCD 320 x 240  3.2 Megapixel Rear Camera  640 x 480 Video  Builtin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 900, WCDMA 2100  GPS Receiver  Bluetooth  Bluetooth 2.0  USB  USB 2.0  8 Hour  Talk Time552 Hour Standby Time  Yes",Refurbished
"""CPU Upgrade with 3.6 GHz **Refurbished** Processors""","Nokia 2700 Cellular Phone  2.75G  Bar  Black  SIMfree  1 SIM Card Supported  32 MB  5.1 cm (2"") LCD 320 x 240  200 ppi  2 Megapixel Rear Camera  176 x 144 Video  Quad Band  Bluetooth  Bluetooth 2.0  USB  USB 2.0  6.40 Hour  Talk Time299 Hour Standby Time  No  Yes",Refurbished
"""X445 XEONMP 2.7GHZ PROC UPG **Refurbished** Processors""","Nokia 3710 Fold Cellular Phone  3G  Flip  Plum  SIMfree  Email, Instant Messaging  70 MB  5.6 cm (2.2"") LCD 240 x 320  3.2 Megapixel Rear CameraBuiltin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 850, WCDMA 1900, WCDMA 2100  GPS Receiver  Bluetooth  Bluetooth 2.1  USB  USB 2.0  4 Hour  Talk Time288 Hour Standby Time  Yes",Refurbished
"""2.2GHz Prozessor 1MB Cache **Refurbished** Mechanical Parts""","Nokia 3720 Classic Cellular Phone  2.75G  Bar  Black  SIMfree  Email, Instant Messaging  20 MB  5.6 cm (2.2"") LCD 240 x 320  2 Megapixel Rear Camera  176 x 144 Video  Builtin Flash  Tri Band  GSM 900, GSM 1800, GSM 1900  Bluetooth  Bluetooth 2.1  USB  USB 2.0  7 Hour  Talk Time450 Hour Standby Time  Yes",Refurbished
"""2.4GHZ/533MHZ(512KB LS CACHE) **Refurbished** Electrical Parts""","Nokia 3720 Classic Cellular Phone  2.75G  Bar  Black  SIMfree  Email, Instant Messaging  20 MB  5.6 cm (2.2"") LCD 240 x 320  2 Megapixel Rear Camera  176 x 144 Video  Builtin Flash  Tri Band  GSM 900, GSM 1800, GSM 1900  Bluetooth  Bluetooth 2.1  USB  USB 2.0  7 Hour  Talk Time450 Hour Standby Time  Yes",Refurbished
"""XSERIES 255 XEON/2200 512K 2MB **Refurbished** Processors""","Nokia 2730 Classic Cellular Phone  3G  Bar  Black  SIMfree  Email  30 MB  5.1 cm (2"") LCD 240 x 320  2 Megapixel Rear Camera  352 x 288 Video  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 900, WCDMA 2100  Bluetooth  Bluetooth 2.0  USB  USB 2.0  3.83 Hour  Talk Time8449.92 Hour Standby Time  Yes",Refurbished
"""X3850 8863 RsaIi Adapter **Refurbished** Adapter""","Nokia 2730 Classic Cellular Phone  3G  Bar  Black  SIMfree  Email  30 MB  5.1 cm (2"") LCD 240 x 320  2 Megapixel Rear Camera  352 x 288 Video  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 900, WCDMA 2100  Bluetooth  Bluetooth 2.0  USB  USB 2.0  3.83 Hour  Talk Time8449.92 Hour Standby Time  Yes",Refurbished
"""ESRVR236 DOOR **Refurbished** Other Option Products""","Nokia X3 Cellular Phone  Slider  Black, Red  46 MB RAM  2 GB microSD Included  5.6 cm (2.2"") LCD 240 x 320  3.2 Megapixel Rear Camera  176 x 144 Video  Builtin Flash  Quad Band  Bluetooth  Bluetooth 2.1  USB  USB 2.0  7.50 Hour  Talk Time380 Hour Standby Time  Yes",Refurbished
"""ESRVR236 DIAGNOSTIC PANEL **Refurbished** Mechanical Parts""","Nokia 2220 slide Cellular Phone  Slider  Grey  SIMfree  32 MB  4.6 cm (1.8"") LCD  300 Kilopixel Rear Camera  Dual Band  GSM 900, GSM 1800  5.30 Hour  Talk Time496 Hour Standby Time  Yes",Refurbished
"""ESRVR236 POWER SUPPLY FILLER **Refurbished** Power Supply""","Nokia X6 16GB Smartphone  Wireless LAN  Bar  Black  Symbian OS 9.4  ARM ARM11434 MHz  8 GB  8.1 cm (3.2"") LCD  5 Megapixel Rear CameraBuiltin Flash  Quad Band  GPS Receiver  Bluetooth  Bluetooth 2.0  USB  USB 2.0  11.50 Hour  Talk Time420 Hour Standby Time  Yes",Refurbished
"""TWR TO RACK CNVRSN KIT 50X34IN **Refurbished** Other Option Products""","Nokia E72 Smartphone  Wireless LAN  3.5G  Bar  White Zircon  SIMfree  1 SIM Card Supported  Symbian OS 9.3  ARM ARM11600 MHz  250 MB  6 cm (2.4"") LCD 320 x 240  169 ppi  5 Megapixel Rear Camera  640 x 480 Video  Builtin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 850, WCDMA 900, WCDMA 1900, WCDMA 2100  GPS Receiver  Bluetooth  Bluetooth 2.0  USB  USB 2.0  13 Hour  Talk Time384 Hour Standby Time  No  Yes",Refurbished
"""Interpose Card **Refurbished** Other Option Products""","Nokia E72 Smartphone  Wireless LAN  3G  Bar  White  SIMfree  1 SIM Card Supported  Symbian OS 9.3  ARM ARM11600 MHz  250 MB  6 cm (2.4"") LCD 320 x 240  169 ppi  5 Megapixel Rear Camera  640 x 480 Video  Builtin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 850, WCDMA 900, WCDMA 1900, WCDMA 2100  GPS Receiver  Bluetooth  Bluetooth 2.0  Near Field Communication  USB  USB 2.0  Talk Time384 Hour Standby Time  No  Yes",Refurbished
"""512Mb Ecc Ddr2 Pc3220 Non **Refurbished** Other Option Products""","Nokia E72 Smartphone  Wireless LAN  3.5G  Bar  Metal Gray  SIMfree  Email, Instant Messaging  Symbian OS 9.3  ARM ARM11600 MHz  250 MB RAM  4 GB microSD Included  6 cm (2.4"") LCD 240 x 320  5 Megapixel Rear Camera  320 x 240 Video  Builtin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 900, WCDMA 1900, WCDMA 2100  GPS Receiver  Bluetooth  Bluetooth 2.0  USB  USB 2.0  9.20 Hour  Talk Time17493.12 Hour Standby Time  Yes  QWERTY, QWERTZ",Refurbished
"""XSER XEO 2.8GHZ 800MHZ 1MB PRO **Refurbished** Processors""","Nokia E72 Smartphone  Wireless LAN  3.5G  Bar  Metal Gray  SIMfree  Email, Instant Messaging  Symbian OS 9.3  ARM ARM11600 MHz  250 MB RAM  4 GB microSD Included  6 cm (2.4"") LCD 240 x 320  5 Megapixel Rear Camera  320 x 240 Video  Builtin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 900, WCDMA 1900, WCDMA 2100  GPS Receiver  Bluetooth  Bluetooth 2.0  USB  USB 2.0  9.20 Hour  Talk Time17493.12 Hour Standby Time  Yes  QWERTY, QWERTZ",Refurbished
"""Thinkpad Xseries 346 ToolLess **Refurbished** Other Option Products""","Nokia 6303i Cellular Phone  2.75G  Bar  Steel Silver  SIMfree  Email, Instant Messaging  17 MB RAM  2 GB microSD Included  5.6 cm (2.2"") LCD 240 x 320  3.2 Megapixel Rear Camera  320 x 240 Video  Builtin Flash  Tri Band  GSM 900, GSM 1800, GSM 1900  Bluetooth  Bluetooth 2.0  USB  USB 2.0  6 Hour  Talk Time11399.04 Hour Standby Time  Yes",Refurbished
"""DS300 Power Supply Upgrade **Refurbished** Power""","Nokia 6303i Cellular Phone  2.75G  Bar  Steel Silver  SIMfree  Email, Instant Messaging  17 MB RAM  2 GB microSD Included  5.6 cm (2.2"") LCD 240 x 320  3.2 Megapixel Rear Camera  320 x 240 Video  Builtin Flash  Tri Band  GSM 900, GSM 1800, GSM 1900  Bluetooth  Bluetooth 2.0  USB  USB 2.0  6 Hour  Talk Time11399.04 Hour Standby Time  Yes",Refurbished
"""TOTALSTOR DS400 DUAL CTR. **Refurbished** Electrical Parts""","Nokia C500 Smartphone  Bar  Black  SIMfree  Symbian OS 9.3  ARM ARM11600 MHz  50 MB RAM  2 GB microSD Included  5.6 cm (2.2"") LCD 320 x 240  3.2 Megapixel Rear Camera  640 x 480 Video  Builtin Flash  Quad Band  GPS Receiver  Bluetooth  Bluetooth 2.0  USB  USB 2.0  12 Hour  Talk Time630 Hour Standby Time  Yes",Refurbished
"""FC SCSI CONTROLLER **Refurbished** Controllers""","Nokia 1616 Cellular Phone  2G  Bar  Black  SIMfree  4.6 cm (1.8"") LCD 128 x 160  Dual Band  GSM 900, GSM 1800  Yes",Refurbished
"""SYSTEMBOARD X225 **Refurbished** Motherboards""","Nokia C3 Cellular Phone  Wireless LAN  Bar  Grey  55 MB  6.1 cm (2.4"") LCD 320 x 240  2 Megapixel Rear Camera  176 x 144 Video  Quad Band  Bluetooth  Bluetooth 2.1  USB  USB 2.0  7 Hour  Talk Time800 Hour Standby Time  Yes",Refurbished
"""SERVERAID 6I+ CONTROLLER **Refurbished** Controllers""","Nokia 1800 Cellular Phone  2G  Bar  Silver Grey  SIMfree  4.6 cm (1.8"") LCD 128 x 160  Dual Band  GSM 900, GSM 1800  13 Hour  Talk Time816 Hour Standby Time  Yes",Refurbished
"""SERVERAID 6I+ CONTROLLER **Refurbished** Controllers""","Nokia 1800 Cellular Phone  2G  Bar  Silver Grey  SIMfree  4.6 cm (1.8"") LCD 128 x 160  Dual Band  GSM 900, GSM 1800  13 Hour  Talk Time816 Hour Standby Time  Yes",Refurbished
"""SERVERAID 8I SAS CTRKR **Refurbished** Controllers""","Nokia C6 Smartphone  Wireless LAN  3G  Slider  Black  1 SIM Card Supported  Symbian OS 9.4  ARM ARM11434 MHz  200 MB RAM  2 GB microSD Included  8.1 cm (3.2"") LCD 640 x 360  Touchscreen  Resistive  5 Megapixel Rear CameraBuiltin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 900, WCDMA 1900, WCDMA 2100, WCDMA 850  GPS Receiver  Bluetooth  Bluetooth 2.0  USB  USB 2.0  11 Hour  Talk Time400 Hour Standby Time  No  Yes",Refurbished
"""SERVERAID 8I SAS CTR **Refurbished** Controllers""","Nokia C6 Smartphone  Wireless LAN  3G  Slider  Black  1 SIM Card Supported  Symbian OS 9.4  ARM ARM11434 MHz  200 MB RAM  2 GB microSD Included  8.1 cm (3.2"") LCD 640 x 360  Touchscreen  Resistive  5 Megapixel Rear CameraBuiltin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 900, WCDMA 1900, WCDMA 2100, WCDMA 850  GPS Receiver  Bluetooth  Bluetooth 2.0  USB  USB 2.0  11 Hour  Talk Time400 Hour Standby Time  No  Yes",Refurbished
"""ULTRA320 SCSI CONTROLLER **Refurbished** Controllers""","Nokia C6 Smartphone  Wireless LAN  Slider  White  Symbian OS 9.4  ARM ARM11434 MHz  200 MB RAM  2 GB microSD Included  8.1 cm (3.2"") LCD 640 x 360  5 Megapixel Rear Camera  640 x 480 Video  Builtin Flash  Quad Band  GPS Receiver  Bluetooth  Bluetooth 2.0  USB  USB 2.0  11 Hour  Talk Time400 Hour Standby Time  Yes",Refurbished
"""U320 SCSI CTRL2 **Refurbished** Other Option Products""","Nokia X200 Cellular Phone  2.75G  Bar  Black  SIMfree  Instant Messaging, Email  48 MB  5.6 cm (2.2"") LCD 240 x 320  5 Megapixel Rear Camera  320 x 240 Video  Builtin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900  Bluetooth  Bluetooth 2.1  USB  USB 2.0  Yes",Refurbished
"""Servraid 8I Serial Battery **Refurbished** Batteries""","Nokia X200 Cellular Phone  2.75G  Bar  Black  SIMfree  Instant Messaging, Email  48 MB  5.6 cm (2.2"") LCD 240 x 320  5 Megapixel Rear Camera  320 x 240 Video  Builtin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900  Bluetooth  Bluetooth 2.1  USB  USB 2.0  Yes",Refurbished
"""BLADECENTER 4PORT **Refurbished** Accessories""","Nokia X2 Cellular Phone  48MB  Blue  Bar  Realtone: Yes  2.2"" Active Matrix TFT Color LCD 320 x 240  5Megapixel  GSM 850, GSM 900, GSM 1800, GSM 1900  GPRS, EDGE  Yes  Yes810Minute",Refurbished
"""CISCO HS20 4PORT 1000 SWITCH **Refurbished** Network""","Nokia X2 Cellular Phone  48MB  Blue  Bar  Realtone: Yes  2.2"" Active Matrix TFT Color LCD 320 x 240  5Megapixel  GSM 850, GSM 900, GSM 1800, GSM 1900  GPRS, EDGE  Yes  Yes810Minute",Refurbished
"""Ethernet expansion card **Refurbished** Electrical Parts""","Nokia C3 Cellular Phone  Wireless LAN  2.75G  Bar  Hot Pink  SIMfree  1 SIM Card Supported  50 MB  6 cm (2.4"") LCD 240 x 320  167 ppi  2 Megapixel Rear Camera  176 x 144 Video  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900  Bluetooth  Bluetooth 2.1  USB  USB 2.0  7 Hour  Talk Time792 Hour Standby Time  No  Yes",Refurbished
"""XSERIES 3.2GHZ 800MHZ 1MB PROC **Refurbished** Processors""","Nokia C3 Cellular Phone  Wireless LAN  2.75G  Bar  Hot Pink  SIMfree  1 SIM Card Supported  50 MB  6 cm (2.4"") LCD 240 x 320  167 ppi  2 Megapixel Rear Camera  176 x 144 Video  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900  Bluetooth  Bluetooth 2.1  USB  USB 2.0  7 Hour  Talk Time792 Hour Standby Time  No  Yes",Refurbished
"""Eserver Bladecenter Hs20 **Refurbished** Other Option Products""","Nokia E5 Smartphone  Wireless LAN  Bar  SIMfree  Email, Instant Messaging  Symbian OS 9.3  ARM ARM11600 MHz  256 MB  6 cm (2.4"") LCD 240 x 320  5 Megapixel Rear Camera  640 x 480 Video  Builtin Flash  Quad Band  GPS Receiver  Bluetooth  Bluetooth 2.0  USB  USB 2.0  13.17 Hour  Talk Time15240.96 Hour Standby Time  Yes  QWERTY, QWERTZ",Refurbished
"""PANEL MGMT CABLE  XSER **Refurbished** Bags/cables""","Nokia E5 Smartphone  Wireless LAN  Bar  SIMfree  Email, Instant Messaging  Symbian OS 9.3  ARM ARM11600 MHz  256 MB  6 cm (2.4"") LCD 240 x 320  5 Megapixel Rear Camera  640 x 480 Video  Builtin Flash  Quad Band  GPS Receiver  Bluetooth  Bluetooth 2.0  USB  USB 2.0  13.17 Hour  Talk Time15240.96 Hour Standby Time  Yes  QWERTY, QWERTZ",Refurbished
"""SATA BACKPLANE X206 **Refurbished** Other Option Products""","Nokia E500 Smartphone  Wireless LAN  3.5G  Bar  Chalk White  SIMfree  Symbian OS 9.3  ARM ARM11600 MHz  250 MB  6 cm (2.4"") LCD 320 x 240  169 ppi  5 Megapixel Rear Camera  640 x 480 Video  Builtin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 850, WCDMA 900, WCDMA 1900, WCDMA 2100  GPS Receiver  Bluetooth  Bluetooth 2.1  USB  USB 2.0  13.20 Hour  Talk Time635 Hour Standby Time  No  Yes",Refurbished
"""POWER LED CTRL PANEL 6223 **Refurbished** Other Option Products""","Nokia N8 Smartphone  Wireless LAN  Bar  SIMfree  Email, Instant Messaging  ARM ARM11680 MHz  16 GB  8.9 cm (3.5"") OLED  12 Megapixel Rear Camera  1280 x 720 Video  Builtin Flash  Quad Band  GPS Receiver  Bluetooth  Bluetooth 3.0  USB  USB 2.0  17.83 Hour  Talk Time9596.16 Hour Standby Time  Yes  Touchscreen",Refurbished
"""Firewire Audio Card W/1394 **Refurbished** Other Option Products""","Nokia N8 Smartphone  Wireless LAN  3.5G  Bar  Silver  SIMfree  1 SIM Card Supported  Symbian^3 OS  ARM ARM11680 MHz  16 GB  8.9 cm (3.5"") OLED 640 x 360  210 ppi  Touchscreen  Multitouch Screen  Capacitive  12 Megapixel Rear Camera  1280 x 720 Video  Builtin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 850, WCDMA 900, WCDMA 1700, WCDMA 1900, WCDMA 2100  GPS Receiver  Bluetooth  Bluetooth 3.0  USB  USB 2.0  12 Hour  Talk Time390 Hour Standby Time",Refurbished
"""Xseries 206 Ide Cable **Refurbished** Bags/cables""",ES200/Fire Resistant Safe/1 Digital  + 1 Keylock/1356 (H) x 737 (W) x 630 (D)mm/Weight ( Kgs)/340/1 Drawer &2 Shelf/P/U H. RAL 9002,Refurbished
"""6224 FANSINK **Refurbished** Electrical Parts""","Nokia C301 Cellular Phone  Wireless LAN  3.5G  Bar  Silver  SIMfree  1 SIM Card Supported680 MHz  32 MB  6.1 cm (2.4"") LCD 240 x 320  167 ppi  Touchscreen  Resistive  5 Megapixel Rear Camera  640 x 480 Video  Builtin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 850, WCDMA 900, WCDMA 1900, WCDMA 2100  Bluetooth  Bluetooth 2.1  USB  USB 2.0  5.60 Hour  Talk Time405 Hour Standby Time  No  Yes",Refurbished
"""FAN SINK FOR 8482 XSER **Refurbished** Electrical Parts""","Nokia C301 Cellular Phone  Wireless LAN  3.5G  Bar  Silver  SIMfree  1 SIM Card Supported680 MHz  32 MB  6.1 cm (2.4"") LCD 240 x 320  167 ppi  Touchscreen  Resistive  5 Megapixel Rear Camera  640 x 480 Video  Builtin Flash  Quad Band  GSM 850, GSM 900, GSM 1800, GSM 1900, WCDMA 850, WCDMA 900, WCDMA 1900, WCDMA 2100  Bluetooth  Bluetooth 2.1  USB  USB 2.0  5.60 Hour  Talk Time405 Hour Standby Time  No  Yes",Refurbished
